File,RMS_Mean,RMS_Std,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
weld_1.wav,0.0020968372,0.0019046555,-605.4607,176.58588,-98.212494,45.200645,23.187916,-29.899418,32.707752,-6.712886,-7.1813025,21.74358,-14.130634,4.97484,10.751944
weld_10.wav,0.0018960984,0.001401601,-637.1785,204.77217,-123.159004,48.639046,13.570255,-36.835415,41.344078,-17.147308,-6.66473,28.931719,-23.182396,6.804846,10.771512
weld_100.wav,0.0016855603,0.00096642476,-591.84174,202.88766,-122.71292,48.241634,16.604767,-35.73073,38.782345,-17.127039,-7.114313,27.142796,-23.109325,5.4510245,9.759358
weld_1000.wav,0.0027933808,0.0015820956,-559.4394,211.33807,-126.87417,59.599987,22.4695,-41.544796,41.649498,-13.560491,-10.400151,26.920464,-22.336664,4.9982734,11.586344
weld_1001.wav,0.0022767386,0.0013209074,-572.51624,208.01663,-126.35481,56.575222,21.901371,-40.263615,40.098293,-14.261849,-10.13604,26.071304,-22.4199,5.189783,11.335972
weld_1002.wav,0.0030889353,0.001287172,-541.41,202.68059,-98.85373,58.36657,28.036736,-30.612629,38.933964,-7.2168264,-6.451602,24.266186,-18.433352,3.6871848,9.093234
weld_1003.wav,0.0021341909,0.0014283119,-580.49945,199.81075,-122.69657,53.322197,24.732615,-36.44332,38.45394,-10.711773,-7.048103,26.00321,-19.778679,6.742168,12.485454
weld_1004.wav,0.0025557363,0.0015650458,-565.7048,203.39098,-128.25749,56.57631,24.672522,-40.107204,40.776745,-10.917047,-9.703524,27.649334,-19.622738,4.4188724,12.215869
weld_1005.wav,0.0021452897,0.0011347781,-573.39764,206.68134,-125.412155,53.31322,22.336388,-39.430645,38.638004,-13.228818,-10.167111,25.841337,-20.625324,4.6341085,11.23687
weld_1006.wav,0.0025953264,0.0016470831,-563.9502,202.23367,-127.67583,54.12329,21.196886,-37.89962,40.65607,-13.717748,-7.565355,26.67491,-22.2333,7.0237722,11.814493
weld_1007.wav,0.0028692246,0.0018692414,-558.0649,205.9445,-125.34897,58.128048,22.550282,-40.45661,40.31528,-13.611906,-10.116266,26.366117,-21.714977,5.0921,11.225815
weld_1008.wav,0.0025680126,0.0016192098,-545.7522,177.63193,-113.1354,50.15019,21.163872,-36.21796,35.160164,-10.925384,-9.43818,23.947506,-18.159914,4.1392264,11.527788
weld_1009.wav,0.0020509532,0.0011890737,-585.2346,212.16675,-129.9648,56.974083,23.615389,-39.410995,41.762894,-13.663276,-9.25597,27.644804,-22.116215,5.789671,12.01789
weld_101.wav,0.0017609117,0.0009456754,-590.2262,210.07661,-131.58368,51.74642,16.686155,-38.452568,41.722862,-18.307154,-8.120604,28.477327,-23.92826,6.427178,9.868798
weld_1010.wav,0.0027580422,0.0016666874,-550.6169,197.27072,-119.61745,54.77493,22.211992,-36.039555,38.93041,-13.563152,-7.834156,25.651834,-21.788649,5.695675,10.643638
weld_1011.wav,0.0025885692,0.0016620238,-572.7084,209.2828,-136.17595,60.149525,22.487604,-42.50086,43.228065,-14.585126,-9.962014,28.42468,-22.593704,6.668031,12.521024
weld_1012.wav,0.0025968088,0.0017797663,-557.12335,188.8806,-122.31242,55.78588,22.701181,-38.674637,39.141415,-11.392492,-9.259338,26.107933,-19.570951,5.5609016,12.602251
weld_1013.wav,0.002773083,0.0016103629,-539.7278,179.81767,-125.763016,55.995026,20.168123,-39.135006,38.847836,-14.438855,-9.32492,25.566849,-21.741308,5.852745,11.436084
weld_1014.wav,0.0027770917,0.0014432298,-556.40295,214.42058,-137.02025,62.228863,22.549538,-43.514748,43.21477,-16.072685,-10.287655,28.320963,-24.050922,6.492595,11.953097
weld_1015.wav,0.0022489075,0.0013154049,-591.41077,222.72772,-145.51251,63.13614,23.109531,-43.203213,46.22969,-16.9322,-8.673691,30.22497,-25.494368,8.423455,12.747505
weld_1016.wav,0.002857878,0.00179862,-562.96735,196.95197,-127.895424,59.163364,22.260508,-38.823997,41.714783,-13.810587,-7.4495635,27.875807,-22.346794,6.779771,12.382585
weld_1017.wav,0.002832083,0.0016692345,-561.825,211.25098,-131.60294,63.121227,24.345972,-42.136883,43.25763,-14.13613,-10.932858,27.460955,-23.64103,4.143986,10.4434
weld_1018.wav,0.002838944,0.0018949052,-543.9893,188.646,-115.98809,55.679485,21.147703,-38.295937,38.154873,-11.896032,-9.010908,25.946573,-19.68511,4.8117604,11.740008
weld_1019.wav,0.0022033413,0.0014395292,-553.6097,169.40373,-106.58166,45.283916,20.185255,-32.797394,33.09423,-10.473938,-8.14007,23.568174,-17.29609,3.7056715,11.568527
weld_102.wav,0.0018853282,0.0011287369,-615.9908,231.93362,-137.01009,51.102657,15.085568,-39.930336,43.055588,-20.874891,-7.0978823,29.843483,-26.622553,8.533002,10.713476
weld_1020.wav,0.0027921225,0.001691886,-558.75415,206.04723,-129.8093,57.53217,21.661749,-39.70998,41.31983,-14.69992,-8.086808,27.82562,-22.391642,6.590619,11.368387
weld_1021.wav,0.0027093517,0.0014789846,-560.76,210.68355,-132.67822,58.843346,24.492216,-42.55116,41.12791,-12.911506,-10.622839,27.576113,-22.517282,3.480843,11.712232
weld_1022.wav,0.0023152044,0.001298364,-576.86804,210.56346,-134.93808,57.06109,21.922405,-41.76188,41.70199,-14.85181,-9.79003,27.456997,-23.442045,5.3145547,11.405482
weld_1023.wav,0.0020402845,0.0011858806,-570.2571,191.66519,-120.44923,52.216164,20.818464,-36.795376,37.52955,-13.861275,-8.326086,25.242277,-21.89073,5.220491,11.213603
weld_1024.wav,0.0025444624,0.001614539,-558.8467,192.79407,-122.43562,53.972557,21.672415,-37.403484,38.17032,-13.922491,-8.694292,25.593481,-21.467602,5.577697,11.401994
weld_1025.wav,0.00253249,0.0013311611,-566.5548,205.1894,-130.12492,57.532925,22.774393,-41.325146,40.643112,-13.6009445,-10.3055315,26.814526,-21.894403,5.0676255,11.689665
weld_1026.wav,0.0023164677,0.0013951277,-563.7927,191.11336,-122.9997,52.83172,20.43939,-39.119156,37.09524,-14.133508,-10.116243,24.490505,-21.432878,4.784405,10.800481
weld_1027.wav,0.002365961,0.0013931917,-581.2004,218.06975,-144.29138,60.01393,22.030312,-43.87716,43.42979,-16.408848,-8.610967,28.432299,-25.14926,8.1536255,12.126399
weld_1028.wav,0.0021221966,0.0012284152,-572.514,199.37827,-130.29106,51.723476,21.924685,-40.46867,38.429302,-12.817391,-10.229158,25.817513,-21.197319,4.251589,11.619935
weld_1029.wav,0.0022833685,0.0012947745,-574.52893,208.41032,-130.86752,56.03702,22.042034,-41.011105,40.602757,-14.405698,-10.029154,27.195278,-22.730743,4.385805,11.18161
weld_103.wav,0.0019091561,0.0012131261,-598.55695,208.74524,-125.360565,42.322186,10.809889,-38.878536,38.430447,-18.91317,-9.909833,26.925348,-22.736563,4.8814826,9.519397
weld_1030.wav,0.0027008264,0.0016416964,-566.25433,209.739,-137.24577,58.824085,21.730911,-41.29563,43.24221,-15.571944,-8.599181,28.55122,-23.818403,7.3253536,12.295607
weld_1031.wav,0.0027731492,0.0016361488,-555.66425,195.2181,-132.29446,57.000587,21.591106,-41.214897,40.454376,-14.420207,-10.374369,26.022224,-22.793932,4.920921,10.665084
weld_1032.wav,0.002705122,0.0016674253,-569.9728,204.22475,-137.91196,59.02176,22.040838,-43.18319,42.217293,-14.685205,-10.424317,27.213194,-23.479813,5.630878,11.237038
weld_1033.wav,0.0023886606,0.0014366815,-567.48956,192.37372,-129.31198,53.356674,20.228365,-39.908466,38.817947,-14.594217,-9.766204,25.612047,-22.01148,5.6466937,11.132679
weld_1034.wav,0.0022326743,0.0013907807,-573.3015,202.51414,-130.1691,52.766155,22.229073,-40.37093,38.05317,-13.520096,-9.510588,25.467363,-21.670113,5.6859903,11.534228
weld_1035.wav,0.0026946906,0.001696263,-561.8659,200.75923,-132.05232,55.127647,21.335629,-40.346886,39.692066,-15.212669,-9.189683,26.573065,-22.96401,6.045726,11.550214
weld_1036.wav,0.0027383943,0.0016463047,-556.7108,197.00409,-130.24193,52.505962,21.780382,-40.759773,38.557446,-12.853746,-10.597976,25.456432,-21.158161,4.1105003,10.784932
weld_1037.wav,0.0025834716,0.0016602586,-564.1024,193.1008,-131.27927,53.743782,20.300142,-39.710384,40.66836,-13.477423,-9.101261,26.431011,-21.852402,5.7285047,11.16863
weld_1038.wav,0.0023816915,0.0013979337,-568.9201,198.32156,-130.06894,54.49785,20.861504,-39.441807,39.52765,-15.221933,-9.021491,26.138103,-23.143936,5.538989,10.701717
weld_1039.wav,0.0023975226,0.0014478469,-574.35315,201.31497,-132.95828,55.04511,22.147577,-41.763355,39.91693,-13.503685,-10.50439,26.598415,-21.68584,5.0768046,12.074226
weld_104.wav,0.0018957244,0.0023158751,-614.0258,122.91615,-69.70792,25.599726,11.903517,-17.27588,27.060497,-4.9377446,-4.3659744,17.817772,-8.490649,4.9444804,9.651543
weld_1040.wav,0.0022361968,0.0010503547,-571.856,208.70123,-133.08582,55.474064,22.648392,-41.718037,39.520206,-14.979854,-10.972151,25.725561,-24.094118,3.6388857,10.509286
weld_1041.wav,0.0024153902,0.0013901056,-572.5855,207.7093,-133.20793,56.868782,20.817572,-41.704937,40.354427,-16.141644,-9.487298,26.540527,-24.217539,6.4782147,11.894306
weld_1042.wav,0.0023322408,0.0013978695,-570.6877,197.51942,-128.63956,55.312473,21.999666,-40.659286,38.757156,-14.145051,-10.5607605,25.06614,-23.0013,4.3033166,11.140529
weld_1043.wav,0.0022250088,0.0014423094,-536.493,160.4689,-98.16615,40.669907,20.37476,-30.980167,27.845877,-9.47515,-8.399871,19.381697,-16.851225,1.9197667,9.117538
weld_1044.wav,0.0019638103,0.0011387916,-596.2933,202.788,-131.85347,59.04093,20.717426,-41.405365,42.5167,-14.927927,-9.058548,28.01591,-23.858295,6.0743527,12.377879
weld_1045.wav,0.002608549,0.0016223488,-576.0912,210.62991,-133.33455,62.24653,22.460669,-39.873875,45.084076,-15.161517,-7.517048,29.630198,-23.780922,8.400372,13.599827
weld_1046.wav,0.0026154842,0.001677925,-592.8805,217.20958,-139.272,65.25429,22.864021,-42.688927,46.898308,-15.69262,-9.238114,29.672253,-25.10784,7.3743486,12.9012
weld_1047.wav,0.0024575142,0.0015740113,-596.39014,215.61407,-146.98238,64.96219,21.226543,-46.46241,47.48065,-16.006727,-10.52185,30.763906,-24.623133,7.5656037,13.822972
weld_1048.wav,0.002146266,0.0013897194,-586.61646,190.13704,-125.100105,52.413876,21.028105,-37.650845,39.065113,-12.549072,-8.317008,25.778334,-21.158226,5.5410986,12.132652
weld_1049.wav,0.0018606635,0.0011844175,-583.36005,186.51973,-116.17871,46.951035,19.754255,-34.75088,35.250587,-12.915828,-7.836099,24.016226,-20.054367,5.2084026,10.936771
weld_105.wav,0.002037009,0.0023183662,-617.7467,137.91241,-78.40611,30.639383,13.08587,-23.702108,28.570223,-3.8181286,-4.497515,19.01126,-11.464053,2.8606935,9.902474
weld_1050.wav,0.0018237375,0.0011538944,-618.5714,215.31485,-141.12285,59.342365,20.24405,-42.905457,44.708782,-16.335173,-8.83742,28.497957,-26.184294,6.7461386,12.388743
weld_1051.wav,0.002169309,0.0014561448,-593.3301,192.20126,-128.71481,54.755714,18.392914,-38.2755,40.90147,-16.362026,-7.629216,27.54141,-24.083027,6.7563024,13.070852
weld_1052.wav,0.0019116654,0.0012229132,-608.85236,204.56732,-135.45625,56.17558,21.406357,-41.962086,41.877586,-13.930619,-9.537544,27.970558,-23.202774,5.215131,13.419115
weld_1053.wav,0.0020514692,0.001476929,-591.98645,193.43707,-119.301186,49.869026,22.355284,-34.710888,38.265427,-11.448574,-7.5808525,26.355764,-19.81778,4.7077565,13.291242
weld_1054.wav,0.002492267,0.0017725431,-584.99506,201.82457,-128.39453,53.78025,21.132133,-37.909122,40.431145,-14.074577,-7.391962,26.826633,-22.915518,6.8561506,12.742144
weld_1055.wav,0.0026906226,0.0018904816,-577.19635,193.6033,-124.36282,54.00085,19.601082,-38.390594,39.781452,-13.718294,-8.202236,26.020138,-22.204758,6.214716,12.4097
weld_1056.wav,0.0027641219,0.0020468784,-575.483,194.14919,-124.321915,53.112328,20.538385,-38.30945,39.18459,-12.797609,-8.353415,25.947157,-20.791985,6.5928726,12.710403
weld_1057.wav,0.002772975,0.001975872,-581.4815,199.87225,-129.04965,57.836674,20.183405,-39.682625,42.604767,-14.094165,-7.842706,28.136227,-22.252115,7.780923,13.316441
weld_1058.wav,0.0020333675,0.0014074878,-594.3264,201.02708,-127.3997,52.644924,20.484169,-38.98558,39.12463,-14.011051,-8.518789,25.994509,-22.076082,6.5294266,12.555467
weld_1059.wav,0.0026568277,0.0017888303,-582.94086,207.15257,-132.55637,56.012848,20.13135,-39.62371,42.17632,-15.755524,-8.266569,27.369356,-24.183702,7.394404,12.789056
weld_106.wav,0.0023174249,0.0026274903,-625.0028,162.15324,-91.20017,40.3327,15.255225,-28.887722,31.901045,-8.707894,-6.0063367,22.168108,-14.368574,4.7939434,9.968728
weld_1060.wav,0.002832614,0.0018814054,-562.49384,202.59494,-124.1718,54.58656,22.71792,-37.781357,40.272007,-12.056488,-8.462863,26.44023,-20.47854,6.546627,12.648209
weld_1061.wav,0.002504743,0.0016387101,-562.6728,194.61385,-123.689255,55.286068,22.044645,-38.365807,39.95385,-12.349166,-9.066093,26.388344,-20.490059,5.6589994,11.718034
weld_1062.wav,0.002522917,0.0014993091,-571.05853,201.18945,-132.49852,61.539112,19.091259,-41.097275,44.25299,-16.768063,-8.522017,28.799551,-24.503872,7.431047,11.963167
weld_1063.wav,0.0025446005,0.0015332688,-573.52997,206.87798,-131.27954,58.562622,21.038141,-40.39884,43.193634,-14.080895,-8.215893,28.435051,-22.167664,7.756907,12.918665
weld_1064.wav,0.0030430406,0.00165009,-546.13184,202.65942,-129.21515,57.388954,20.466658,-38.955494,42.260616,-15.360246,-8.023072,28.561062,-22.130821,7.587121,12.460872
weld_1065.wav,0.00258208,0.0015702546,-574.2462,211.73088,-136.11006,60.166523,21.080523,-42.365578,44.812843,-15.007154,-9.874034,29.55404,-23.224947,5.8359756,12.831499
weld_1066.wav,0.002275133,0.0014716713,-570.3293,197.33199,-124.2664,52.1439,20.583508,-38.58865,38.929054,-13.109953,-8.848637,26.833244,-20.923075,4.940605,12.393769
weld_1067.wav,0.0024912676,0.0016102531,-575.74664,210.91026,-127.61262,57.683765,24.255293,-40.94448,40.30091,-13.237795,-11.049778,26.283775,-22.878897,3.364644,11.79077
weld_1068.wav,0.0023866482,0.0014174257,-566.1108,201.76375,-126.70313,55.24269,22.134064,-40.763287,39.549717,-12.389197,-9.725386,26.570112,-21.319862,4.5223947,11.878299
weld_1069.wav,0.0024276297,0.0012107595,-553.7689,193.92523,-107.29777,53.168243,24.04673,-32.210686,38.20283,-9.4779215,-6.6694593,25.179676,-18.903519,4.824249,11.602695
weld_107.wav,0.0023768218,0.002829738,-608.28125,126.33011,-72.214066,32.947155,14.213252,-21.996702,26.024847,-4.763683,-2.699588,19.689247,-10.37295,3.9383538,8.856889
weld_1070.wav,0.0020533702,0.0012213815,-592.5653,220.01614,-142.37419,59.3013,22.226973,-43.35438,42.959774,-15.795433,-7.372879,28.73421,-25.487688,8.515384,12.845976
weld_1071.wav,0.00231711,0.0014934422,-573.65515,192.29608,-125.68781,54.73551,20.214716,-39.500607,39.962788,-13.372463,-9.0925665,27.204298,-21.102098,5.0029764,12.259053
weld_1072.wav,0.0019485635,0.0012580439,-563.3749,175.78343,-110.34373,44.75942,20.868608,-34.53233,32.778107,-9.455046,-7.8911376,23.626245,-16.558136,4.5078893,11.827505
weld_1073.wav,0.0016482725,0.0017754614,-617.8588,193.79984,-95.42754,49.93374,20.8673,-33.945183,35.39726,-5.835885,-7.2669854,20.578568,-19.511845,1.9944758,7.976909
weld_1074.wav,0.0020583738,0.0016521469,-577.17834,194.83064,-99.12026,40.469036,24.596031,-29.030405,30.29429,-6.548889,-6.3770742,19.658564,-15.026722,4.4553304,8.115115
weld_1075.wav,0.0019238445,0.0015732502,-586.1388,194.81978,-102.72509,40.721127,23.48964,-30.203386,31.625002,-7.1295633,-6.416549,20.993364,-16.055506,4.318772,8.981989
weld_1076.wav,0.0021138883,0.0016354617,-571.22107,190.13707,-102.38314,40.92269,27.13313,-29.68579,29.818216,-5.5597687,-7.1250725,20.371058,-13.929929,3.9050689,8.995396
weld_1077.wav,0.0019133682,0.0015197685,-584.9085,192.60315,-101.457306,42.79373,23.351969,-30.599144,31.070238,-7.2885246,-5.4550962,20.358183,-16.254696,6.1794066,9.837591
weld_1078.wav,0.0019655158,0.0016313783,-580.6284,184.42429,-98.3066,41.748272,22.847872,-28.918827,31.22711,-7.229445,-5.967923,20.283947,-16.201859,4.6713963,9.373328
weld_1079.wav,0.002120046,0.0019898934,-583.4559,179.22134,-95.02429,42.878128,13.630096,-26.52394,36.7354,-16.121176,-7.566918,25.45312,-20.226063,3.45939,12.514447
